#This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.
#To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/4.0/.

PEOPLE	GENDER	AGE	SOURCE	ENTER	BUY	EXPENSE	COST
117	female	21	flyer	0	0	0	-0.1
118	male	65	flyer	0	0	0	-0.1
119	female	49	flyer	0	0	0	-0.1
120	female	40	flyer	0	0	0	-0.1
121	female	35	flyer	0	0	0	-0.1
122	male	58	flyer	0	0	0	-0.1
123	female	27	flyer	1	1	14.99	-0.1
124	female	16	flyer	0	0	0	-0.1
125	male	54	flyer	0	0	0	-0.1
126	male	16	flyer	0	0	0	-0.1
127	female	20	flyer	1	0	0	-0.1
128	male	35	flyer	0	0	0	-0.1
129	female	27	flyer	0	0	0	-0.1
130	male	60	flyer	1	1	9.99	-0.1
131	male	28	flyer	0	0	0	-0.1
132	female	29	flyer	1	0	0	-0.1
133	female	18	flyer	1	1	3.99	-0.1
134	female	46	flyer	0	0	0	-0.1
135	male	16	flyer	1	0	0	-0.1
136	male	59	flyer	0	0	0	-0.1
137	female	17	flyer	0	0	0	-0.1
138	female	43	flyer	0	0	0	-0.1
139	male	58	flyer	0	0	0	-0.1
140	male	21	flyer	0	0	0	-0.1
141	female	55	flyer	0	0	0	-0.1
142	female	67	flyer	0	0	0	-0.1
143	male	66	flyer	1	1	19.99	-0.1
144	female	62	flyer	0	0	0	-0.1
145	male	64	flyer	0	0	0	-0.1
146	female	39	flyer	1	0	0	-0.1
147	male	46	flyer	0	0	0	-0.1
148	female	21	flyer	0	0	0	-0.1
149	female	16	flyer	0	0	0	-0.1
150	male	64	flyer	1	1	15.99	-0.1
151	male	28	flyer	1	1	14.99	-0.1
152	female	41	flyer	0	0	0	-0.1
153	female	51	flyer	0	0	0	-0.1
154	male	67	flyer	1	0	0	-0.1
155	male	18	flyer	0	0	0	-0.1
156	female	27	flyer	0	0	0	-0.1
157	male	24	flyer	1	0	0	-0.1
158	male	46	flyer	1	1	13.99	-0.1
159	female	18	flyer	1	1	3.99	-0.1
160	female	30	flyer	1	1	16.99	-0.1
161	female	35	flyer	1	0	0	-0.1
162	male	23	flyer	0	0	0	-0.1
163	male	54	flyer	0	0	0	-0.1
164	male	20	flyer	0	0	0	-0.1
165	female	33	flyer	1	1	8.99	-0.1
166	female	49	flyer	0	0	0	-0.1
167	male	53	flyer	0	0	0	-0.1
168	male	23	flyer	0	0	0	-0.1
169	female	29	flyer	0	0	0	-0.1
170	male	42	flyer	0	0	0	-0.1
171	male	34	flyer	1	1	8.99	-0.1
172	male	47	flyer	0	0	0	-0.1
173	male	22	flyer	0	0	0	-0.1
174	female	33	flyer	1	0	0	-0.1
175	female	42	flyer	0	0	0	-0.1
176	male	67	flyer	1	0	0	-0.1
177	female	55	flyer	0	0	0	-0.1
178	female	24	flyer	0	0	0	-0.1
179	male	49	flyer	0	0	0	-0.1
180	male	16	flyer	0	0	0	-0.1
181	male	40	flyer	0	0	0	-0.1
182	male	17	flyer	0	0	0	-0.1
183	female	18	flyer	0	0	0	-0.1
184	male	16	flyer	0	0	0	-0.1
185	male	23	flyer	0	0	0	-0.1
186	male	21	flyer	0	0	0	-0.1
187	female	40	flyer	0	0	0	-0.1
188	male	20	flyer	1	0	0	-0.1
189	male	44	flyer	0	0	0	-0.1
190	male	26	flyer	1	0	0	-0.1
191	male	17	flyer	0	0	0	-0.1
192	female	38	flyer	0	0	0	-0.1
193	male	58	flyer	0	0	0	-0.1
194	male	32	flyer	0	0	0	-0.1
195	male	16	flyer	0	0	0	-0.1
196	female	48	flyer	0	0	0	-0.1
197	female	27	flyer	0	0	0	-0.1
198	male	61	flyer	0	0	0	-0.1
199	female	24	flyer	1	0	0	-0.1
200	female	35	flyer	1	1	17.99	-0.1
